transcript gene 001_5d234 002_embABC 003_rootABC 004_15d124 005_leafABC 006_inf2FGH 007_nodABC 008_inf1ABC
MLOC_10339.1 MLOC_10339 51.8869 0 0 1.49279 0 0.105867 0.0126214 0
MLOC_1034 MLOC_1034 35.7987 15.2055 19.1784 46.6607 18.7449 70.3619 47.4628 27.5986
MLOC_10342.2 MLOC_10342 1.25432 31.7044 22.2963 19.7418 21.2387 36.9878 198.848 38.4089
MLOC_10343.1 MLOC_10343 54.0247 56.3042 11.7077 10.188 141.611 21.1695 97.3374 24.2142
MLOC_10345.2 MLOC_10345 31.5212 0.185884 0.163527 19.1533 0.168773 15.4728 0.282784 3.36738
MLOC_10346.1 MLOC_10346 0.654634 5.87668 3.89183 0.158406 0.679096 0.237402 2.49061 0.163534
MLOC_10347.4 MLOC_10347 2.87074 1.44477 0.641435 2.11823 33.051 0.775399 21.8548 0.854442
MLOC_10348 MLOC_10348 25.112 46.6647 23.6952 22.0007 25.4542 33.4575 64.1164 33.8681
MLOC_10351.3 MLOC_10351 6.62494 3.45088 4.63984 5.02784 3.97361 16.9094 16.0156 10.8008
MLOC_10355.2 MLOC_10355 0.519437 2.07156 3.42115 0.465825 1.15554 0.243449 26.1194 0.134461
MLOC_10356 MLOC_10356 5.09936 7.47228 9.12382 9.79504 8.61511 13.3012 34.5041 11.529
MLOC_10358.1 MLOC_10358 0.250666 0.62904 1.08654 1.30223 0.424224 0.065758 0.10851 0
MLOC_10360.2 MLOC_10360 0.132928 0.30572 0.67875 0.122415 0.0430009 0.391066 2.30261 0.387395
MLOC_10361 MLOC_10361 37.4159 15.5418 25.228 168.103 13.1529 25.7756 45.6603 16.2376
MLOC_10362.1 MLOC_10362 12.5916 9.99196 17.2213 11.3447 7.28229 26.3672 54.1636 15.7744
MLOC_10364.1 MLOC_10364 10.8282 16.63 0.917185 0.318496 32.3069 1.28403 0.71415 1.36423
MLOC_10369 MLOC_10369 844.014 364.037 642.703 736.474 783.023 705.009 193.786 170.477
MLOC_1037.1 MLOC_1037 0.208026 0.21115 0.555174 0.518952 0.201289 0.303626 0.315337 0.137674
MLOC_10371.1 MLOC_10371 3.10985 4.45551 5.41573 3.92887 2.02642 5.78985 8.70781 5.30077
MLOC_10372 MLOC_10372 7.49891 0.186382 0.360532 31.7567 0.116121 0.126521 2.15241 0.197834
MLOC_10374.5 MLOC_10374 12.7033 12.4383 13.5126 21.6259 10.8373 12.1002 43.2774 9.42678
MLOC_10376.1 MLOC_10376 108.014 70.7564 71.6245 64.9641 56.737 40.5156 137.475 49.2245
MLOC_10377.1 MLOC_10377 0.073007 4.46425 2.15857 0.134186 2.97002 0.0442858 1.8157 0.0212358
MLOC_10378.2 MLOC_10378 1.90254 2.6539 7.57683 0.356928 3.58227 2.37525 9.2606 1.21443
