gene	module	isHub
MLOC_27175.1	004_15d124	TRUE
MLOC_27176.1	004_15d124	TRUE
MLOC_27198.1	004_15d124	TRUE
MLOC_27229.1	004_15d124	TRUE
MLOC_2725.1	004_15d124	TRUE
MLOC_27294.1	004_15d124	TRUE
MLOC_27304.1	004_15d124	TRUE
MLOC_27347.1	004_15d124	TRUE
MLOC_27396.1	004_15d124	TRUE
MLOC_27516.1	004_15d124	TRUE
MLOC_27551	004_15d124	TRUE
MLOC_27584.1	004_15d124	TRUE
MLOC_27616.1	004_15d124	TRUE
MLOC_27709.1	004_15d124	TRUE
MLOC_27727.1	004_15d124	TRUE
MLOC_27762.1	004_15d124	TRUE
MLOC_27774.1	004_15d124	TRUE
MLOC_27775.1	004_15d124	TRUE
MLOC_27784.1	004_15d124	TRUE
MLOC_27794.1	004_15d124	TRUE
MLOC_27831.1	004_15d124	TRUE
MLOC_279.1	004_15d124	TRUE
MLOC_27901.1	004_15d124	TRUE
MLOC_27919.1	004_15d124	TRUE
MLOC_27942.1	004_15d124	TRUE
MLOC_27958.1	004_15d124	TRUE
MLOC_27962.1	004_15d124	TRUE
MLOC_28019.2	004_15d124	TRUE
MLOC_2802.1	004_15d124	TRUE
MLOC_28029.1	004_15d124	TRUE
MLOC_28157.1	004_15d124	TRUE
MLOC_28171.1	004_15d124	TRUE
MLOC_28179.1	004_15d124	TRUE
MLOC_28186.1	004_15d124	TRUE
MLOC_28195.1	004_15d124	TRUE
MLOC_28203.1	004_15d124	TRUE
MLOC_28252.1	004_15d124	TRUE
MLOC_28281.1	004_15d124	TRUE
MLOC_28326.1	004_15d124	TRUE
MLOC_28331.2	004_15d124	TRUE
MLOC_28407.1	004_15d124	TRUE
MLOC_28409.1	004_15d124	TRUE
MLOC_28497.1	004_15d124	TRUE
MLOC_28567.1	004_15d124	TRUE
MLOC_28582.1	004_15d124	TRUE
MLOC_28610.1	004_15d124	TRUE
MLOC_28612.1	004_15d124	TRUE
MLOC_28634.1	004_15d124	TRUE
MLOC_28735.1	004_15d124	TRUE
MLOC_2882.1	004_15d124	TRUE
MLOC_28857.1	004_15d124	TRUE
MLOC_28869.1	004_15d124	TRUE
MLOC_28882.1	004_15d124	TRUE
MLOC_28892.1	004_15d124	TRUE
MLOC_289	004_15d124	TRUE
MLOC_28909.1	004_15d124	TRUE
MLOC_29012.2	004_15d124	TRUE
MLOC_29025	004_15d124	TRUE
MLOC_29045.1	004_15d124	TRUE
MLOC_29211.1	004_15d124	TRUE
MLOC_29212.1	004_15d124	TRUE
MLOC_29343.1	004_15d124	TRUE
MLOC_2935.1	004_15d124	TRUE
MLOC_29398.1	004_15d124	TRUE
MLOC_29413.1	004_15d124	TRUE
MLOC_29502.1	004_15d124	TRUE
MLOC_2952	004_15d124	TRUE
MLOC_29610.1	004_15d124	TRUE
MLOC_29657.1	004_15d124	TRUE
MLOC_29687.1	004_15d124	TRUE
MLOC_29711.1	004_15d124	TRUE
MLOC_29720.1	004_15d124	TRUE
MLOC_29759.1	004_15d124	TRUE
MLOC_29775.1	004_15d124	TRUE
MLOC_29799	004_15d124	TRUE
MLOC_2988.1	004_15d124	TRUE
MLOC_29888.1	004_15d124	TRUE
MLOC_29919.1	004_15d124	TRUE
MLOC_29923	004_15d124	TRUE
MLOC_29927.1	004_15d124	TRUE
MLOC_29981.1	004_15d124	TRUE
MLOC_30070.1	004_15d124	TRUE
MLOC_30071.1	004_15d124	TRUE
MLOC_30125.1	004_15d124	TRUE
MLOC_30143.1	004_15d124	TRUE
MLOC_30147.1	004_15d124	TRUE
